"iet_name";"iet_istypedby";"isc_name";"isc_version"
IfcJunctionBox;IfcJunctionBoxType;IFC4X3_ADD1;"4.3.1.0"
IfcLiquidTerminal;IfcLiquidTerminalType;IFC4X3_ADD1;"4.3.1.0"
IfcLightFixture;IfcLightFixtureType;IFC4X3_ADD1;"4.3.1.0"
IfcMechanicalFastener;IfcMechanicalFastenerType;IFC4X3_ADD1;"4.3.1.0"
IfcMedicalDevice;IfcMedicalDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcAirTerminal/USERDEFINED;IfcAirTerminalType/USERDEFINED;IFC4X3_ADD1;"4.3.1.0"
IfcAirTerminal/NOTDEFINED;IfcAirTerminalType/NOTDEFINED;IFC4X3_ADD1;"4.3.1.0"
IfcSubContractResource/PURCHASE;IfcSubContractResourceType/PURCHASE;IFC4X3_ADD1;"4.3.1.0"
IfcTask/MOVE;IfcTaskType/MOVE;IFC4X3_ADD1;"4.3.1.0"
IfcMooringDevice;IfcMooringDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcAirTerminalBox/CONSTANTFLOW;IfcAirTerminalBoxType/CONSTANTFLOW;IFC4X3_ADD1;"4.3.1.0"
IfcAirTerminalBox/VARIABLEFLOWPRESSUREDEPENDANT;IfcAirTerminalBoxType/VARIABLEFLOWPRESSUREDEPENDANT;IFC4X3_ADD1;"4.3.1.0"
IfcPile;IfcPileType;IFC4X3_ADD1;"4.3.1.0"
IfcAirTerminalBox/NOTDEFINED;IfcAirTerminalBoxType/NOTDEFINED;IFC4X3_ADD1;"4.3.1.0"
IfcPipeFitting;IfcPipeFittingType;IFC4X3_ADD1;"4.3.1.0"
IfcPipeSegment;IfcPipeSegmentType;IFC4X3_ADD1;"4.3.1.0"
IfcPlate;IfcPlateType;IFC4X3_ADD1;"4.3.1.0"
IfcDuctFitting/EXIT;IfcDuctFittingType/EXIT;IFC4X3_ADD1;"4.3.1.0"
IfcProtectiveDevice;IfcProtectiveDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcPump;IfcPumpType;IFC4X3_ADD1;"4.3.1.0"
IfcRail;IfcRailType;IFC4X3_ADD1;"4.3.1.0"
IfcRailing;IfcRailingType;IFC4X3_ADD1;"4.3.1.0"
IfcReinforcingElement;IfcReinforcingElementType;IFC4X3_ADD1;"4.3.1.0"
